OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025FS,2025-04-06T13:44:36.479616,14.37633436,.0239431,98.3613,119.0561,344.6758,14.7265,0,U,29872,999,94996,.12951E-2,.537E-4,0
FENGYUN 1C DEB,1999-025FT,2025-04-06T19:41:29.560128,13.97915998,.009287,99.4760,309.3330,156.2801,216.7075,0,U,29873,999,92823,.61765E-3,.861E-5,0
FENGYUN 1C DEB,1999-025FU,2025-04-06T17:30:10.660320,14.25391456,.0110127,98.3889,3.9245,6.4006,18.6692,0,U,29874,999,93282,.52403E-2,.13149E-3,0
FENGYUN 1C DEB,1999-025FV,2025-04-06T20:57:54.071136,14.24806937,.0083363,98.4358,158.3564,74.8040,340.7115,0,U,29875,999,94774,.12917E-3,.271E-5,0
FENGYUN 1C DEB,1999-025FW,2025-04-06T15:49:31.984608,14.20103371,.0061799,98.3623,161.1742,25.6224,125.6212,0,U,29876,999,94367,.28519E-3,.579E-5,0
FENGYUN 1C DEB,1999-025FX,2025-04-06T22:15:55.541088,14.24178654,.0045803,98.5407,109.1720,226.5360,204.3653,0,U,29877,999,94417,.79996E-3,.182E-4,0
FENGYUN 1C DEB,1999-025FY,2025-04-06T19:53:44.829312,14.79170157,.005813,96.9675,299.0787,289.8585,69.6370,0,U,29878,999,94926,.65455E-2,.50232E-3,0
FENGYUN 1C DEB,1999-025GA,2025-04-06T19:46:46.121952,13.92685298,.0236152,98.1830,43.6947,81.4829,334.3105,0,U,29880,999,92082,.26622E-2,.4292E-4,0
FENGYUN 1C DEB,1999-025GB,2025-04-06T11:53:19.747680,13.58514723,.0294,98.7047,96.1493,4.3324,148.4644,0,U,29881,999,89835,.53792E-2,.5163E-4,0
FENGYUN 1C DEB,1999-025GE,2025-04-06T22:15:22.375584,14.38941377,.0045758,99.6165,100.1807,137.9339,283.3169,0,U,29884,999,94955,.16078E-2,.4968E-4,0
FENGYUN 1C DEB,1999-025GF,2025-04-06T20:43:41.869920,14.13376108,.011873,98.3279,48.6573,164.0657,261.9704,0,U,29885,999,93927,.27494E-3,.513E-5,0
FENGYUN 1C DEB,1999-025GH,2025-04-06T18:49:19.937856,14.31966379,.0292947,98.7292,176.2859,15.2981,97.0495,0,U,29887,999,94395,.11055E-2,.4716E-4,0
FENGYUN 1C DEB,1999-025GJ,2025-04-06T22:35:53.947104,14.19039714,.0277203,99.1982,279.7779,14.9391,345.9768,0,U,29888,999,93960,.71803E-3,.2146E-4,0
FENGYUN 1C DEB,1999-025GK,2025-04-06T20:28:52.574592,14.13051797,.0154925,99.4558,199.7988,14.8271,110.8501,0,U,29889,999,93789,.53749E-3,.1075E-4,0
FENGYUN 1C DEB,1999-025GL,2025-04-06T18:26:38.586624,14.21659112,.0015506,99.4490,200.1653,67.2156,293.0656,0,U,29890,999,93897,.28402E-2,.6197E-4,0
FENGYUN 1C DEB,1999-025GM,2025-04-06T19:09:16.810272,13.99719472,.0062984,98.7310,110.4132,237.5506,297.0927,0,U,29891,999,92991,.64662E-3,.921E-5,0
FENGYUN 1C DEB,1999-025GN,2025-04-06T22:25:36.716736,14.27040704,.0202771,99.1718,230.9901,298.6445,185.1370,0,U,29892,999,93080,.38413E-2,.11597E-3,0
